Type1,Type2,BaseHP,BaseAtk,BaseDef,BaseSpA,BaseSpD,BaseSpe
Bug,Dark,80,80,80,80,80,80
Bug,Dragon,80,80,80,80,80,80
Bug,Electric,80,80,80,80,80,80
Bug,Fairy,80,80,80,80,80,80
Bug,Fighting,80,80,80,80,80,80
Bug,Fire,80,80,80,80,80,80
Bug,Flying,80,80,80,80,80,80
Bug,Ghost,80,80,80,80,80,80
Bug,Grass,80,80,80,80,80,80
Bug,Ground,80,80,80,80,80,80
Bug,Ice,80,80,80,80,80,80
Bug,Normal,80,80,80,80,80,80
Bug,Poison,80,80,80,80,80,80
Bug,Psychic,80,80,80,80,80,80
Bug,Rock,80,80,80,80,80,80
Bug,Steel,80,80,80,80,80,80
Bug,Typeless,80,80,80,80,80,80
Bug,Water,80,80,80,80,80,80
Dark,Dragon,80,80,80,80,80,80
Dark,Electric,80,80,80,80,80,80
Dark,Fairy,80,80,80,80,80,80
Dark,Fighting,80,80,80,80,80,80
Dark,Fire,80,80,80,80,80,80
Dark,Flying,80,80,80,80,80,80
Dark,Ghost,80,80,80,80,80,80
Dark,Grass,80,80,80,80,80,80
Dark,Ground,80,80,80,80,80,80
Dark,Ice,80,80,80,80,80,80
Dark,Normal,80,80,80,80,80,80
Dark,Poison,80,80,80,80,80,80
Dark,Psychic,80,80,80,80,80,80
Dark,Rock,80,80,80,80,80,80
Dark,Steel,80,80,80,80,80,80
Dark,Typeless,80,80,80,80,80,80
Dark,Water,80,80,80,80,80,80
Dragon,Electric,80,80,80,80,80,80
Dragon,Fairy,80,80,80,80,80,80
Dragon,Fighting,80,80,80,80,80,80
Dragon,Fire,80,80,80,80,80,80
Dragon,Flying,80,80,80,80,80,80
Dragon,Ghost,80,80,80,80,80,80
Dragon,Grass,80,80,80,80,80,80
Dragon,Ground,80,80,80,80,80,80
Dragon,Ice,80,80,80,80,80,80
Dragon,Normal,80,80,80,80,80,80
Dragon,Poison,80,80,80,80,80,80
Dragon,Psychic,80,80,80,80,80,80
Dragon,Rock,80,80,80,80,80,80
Dragon,Steel,80,80,80,80,80,80
Dragon,Typeless,80,80,80,80,80,80
Dragon,Water,80,80,80,80,80,80
Electric,Fairy,80,80,80,80,80,80
Electric,Fighting,80,80,80,80,80,80
Electric,Fire,80,80,80,80,80,80
Electric,Flying,80,80,80,80,80,80
Electric,Ghost,80,80,80,80,80,80
Electric,Grass,80,80,80,80,80,80
Electric,Ground,80,80,80,80,80,80
Electric,Ice,80,80,80,80,80,80
Electric,Normal,80,80,80,80,80,80
Electric,Poison,80,80,80,80,80,80
Electric,Psychic,80,80,80,80,80,80
Electric,Rock,80,80,80,80,80,80
Electric,Steel,80,80,80,80,80,80
Electric,Typeless,80,80,80,80,80,80
Electric,Water,80,80,80,80,80,80
Fairy,Fighting,80,80,80,80,80,80
Fairy,Fire,80,80,80,80,80,80
Fairy,Flying,80,80,80,80,80,80
Fairy,Ghost,80,80,80,80,80,80
Fairy,Grass,80,80,80,80,80,80
Fairy,Ground,80,80,80,80,80,80
Fairy,Ice,80,80,80,80,80,80
Fairy,Normal,80,80,80,80,80,80
Fairy,Poison,80,80,80,80,80,80
Fairy,Psychic,80,80,80,80,80,80
Fairy,Rock,80,80,80,80,80,80
Fairy,Steel,80,80,80,80,80,80
Fairy,Typeless,80,80,80,80,80,80
Fairy,Water,80,80,80,80,80,80
Fighting,Fire,80,80,80,80,80,80
Fighting,Flying,80,80,80,80,80,80
Fighting,Ghost,80,80,80,80,80,80
Fighting,Grass,80,80,80,80,80,80
Fighting,Ground,80,80,80,80,80,80
Fighting,Ice,80,80,80,80,80,80
Fighting,Normal,80,80,80,80,80,80
Fighting,Poison,80,80,80,80,80,80
Fighting,Psychic,80,80,80,80,80,80
Fighting,Rock,80,80,80,80,80,80
Fighting,Steel,80,80,80,80,80,80
Fighting,Typeless,80,80,80,80,80,80
Fighting,Water,80,80,80,80,80,80
Fire,Flying,80,80,80,80,80,80
Fire,Ghost,80,80,80,80,80,80
Fire,Grass,80,80,80,80,80,80
Fire,Ground,80,80,80,80,80,80
