T1Type1,T1Type2,T2Type1,T2Type2
Bug,Dark,Bug,Dragon
Bug,Dark,Bug,Electric
Bug,Dark,Bug,Fairy
Bug,Dark,Bug,Fighting
Bug,Dark,Bug,Fire
Bug,Dark,Bug,Flying
Bug,Dark,Bug,Ghost
Bug,Dark,Bug,Grass
Bug,Dark,Bug,Ground
Bug,Dark,Bug,Ice
Bug,Dark,Bug,Normal
Bug,Dark,Bug,Poison
Bug,Dark,Bug,Psychic
Bug,Dark,Bug,Rock
Bug,Dark,Bug,Steel
Bug,Dark,Bug,Typeless
Bug,Dark,Bug,Water
Bug,Dark,Dark,Dragon
Bug,Dark,Dark,Electric
Bug,Dark,Dark,Fairy
Bug,Dark,Dark,Fighting
Bug,Dark,Dark,Fire
Bug,Dark,Dark,Flying
Bug,Dark,Dark,Ghost
Bug,Dark,Dark,Grass
Bug,Dark,Dark,Ground
Bug,Dark,Dark,Ice
Bug,Dark,Dark,Normal
Bug,Dark,Dark,Poison
Bug,Dark,Dark,Psychic
Bug,Dark,Dark,Rock
Bug,Dark,Dark,Steel
Bug,Dark,Dark,Typeless
Bug,Dark,Dark,Water
Bug,Dark,Dragon,Electric
Bug,Dark,Dragon,Fairy
Bug,Dark,Dragon,Fighting
Bug,Dark,Dragon,Fire
Bug,Dark,Dragon,Flying
Bug,Dark,Dragon,Ghost
Bug,Dark,Dragon,Grass
Bug,Dark,Dragon,Ground
Bug,Dark,Dragon,Ice
Bug,Dark,Dragon,Normal
Bug,Dark,Dragon,Poison
Bug,Dark,Dragon,Psychic
Bug,Dark,Dragon,Rock
Bug,Dark,Dragon,Steel
Bug,Dark,Dragon,Typeless
Bug,Dark,Dragon,Water
Bug,Dark,Electric,Fairy
Bug,Dark,Electric,Fighting
Bug,Dark,Electric,Fire
Bug,Dark,Electric,Flying
Bug,Dark,Electric,Ghost
Bug,Dark,Electric,Grass
Bug,Dark,Electric,Ground
Bug,Dark,Electric,Ice
Bug,Dark,Electric,Normal
Bug,Dark,Electric,Poison
Bug,Dark,Electric,Psychic
Bug,Dark,Electric,Rock
Bug,Dark,Electric,Steel
Bug,Dark,Electric,Typeless
Bug,Dark,Electric,Water
Bug,Dark,Fairy,Fighting
Bug,Dark,Fairy,Fire
Bug,Dark,Fairy,Flying
Bug,Dark,Fairy,Ghost
Bug,Dark,Fairy,Grass
Bug,Dark,Fairy,Ground
Bug,Dark,Fairy,Ice
Bug,Dark,Fairy,Normal
Bug,Dark,Fairy,Poison
Bug,Dark,Fairy,Psychic
Bug,Dark,Fairy,Rock
Bug,Dark,Fairy,Steel
Bug,Dark,Fairy,Typeless
Bug,Dark,Fairy,Water
Bug,Dark,Fighting,Fire
Bug,Dark,Fighting,Flying
Bug,Dark,Fighting,Ghost
Bug,Dark,Fighting,Grass
Bug,Dark,Fighting,Ground
Bug,Dark,Fighting,Ice
Bug,Dark,Fighting,Normal
Bug,Dark,Fighting,Poison
Bug,Dark,Fighting,Psychic
Bug,Dark,Fighting,Rock
Bug,Dark,Fighting,Steel
Bug,Dark,Fighting,Typeless
Bug,Dark,Fighting,Water
Bug,Dark,Fire,Flying
Bug,Dark,Fire,Ghost
Bug,Dark,Fire,Grass
Bug,Dark,Fire,Ground
Bug,Dark,Fire,Ice
Bug,Dark,Fire,Normal
Bug,Dark,Fire,Poison
Bug,Dark,Fire,Psychic
Bug,Dark,Fire,Rock
Bug,Dark,Fire,Steel
Bug,Dark,Fire,Typeless
Bug,Dark,Fire,Water
Bug,Dark,Flying,Ghost
Bug,Dark,Flying,Grass
Bug,Dark,Flying,Ground
Bug,Dark,Flying,Ice
Bug,Dark,Flying,Normal
Bug,Dark,Flying,Poison
Bug,Dark,Flying,Psychic
Bug,Dark,Flying,Rock
Bug,Dark,Flying,Steel
Bug,Dark,Flying,Typeless
Bug,Dark,Flying,Water
Bug,Dark,Ghost,Grass
Bug,Dark,Ghost,Ground
Bug,Dark,Ghost,Ice
Bug,Dark,Ghost,Normal
Bug,Dark,Ghost,Poison
Bug,Dark,Ghost,Psychic
Bug,Dark,Ghost,Rock
Bug,Dark,Ghost,Steel
Bug,Dark,Ghost,Typeless
Bug,Dark,Ghost,Water
Bug,Dark,Grass,Ground
Bug,Dark,Grass,Ice
Bug,Dark,Grass,Normal
Bug,Dark,Grass,Poison
Bug,Dark,Grass,Psychic
Bug,Dark,Grass,Rock
Bug,Dark,Grass,Steel
Bug,Dark,Grass,Typeless
Bug,Dark,Grass,Water
Bug,Dark,Ground,Ice
Bug,Dark,Ground,Normal
Bug,Dark,Ground,Poison
Bug,Dark,Ground,Psychic
Bug,Dark,Ground,Rock
Bug,Dark,Ground,Steel
Bug,Dark,Ground,Typeless
Bug,Dark,Ground,Water
Bug,Dark,Ice,Normal
Bug,Dark,Ice,Poison
Bug,Dark,Ice,Psychic
Bug,Dark,Ice,Rock
Bug,Dark,Ice,Steel
Bug,Dark,Ice,Typeless
Bug,Dark,Ice,Water
Bug,Dark,Normal,Poison
Bug,Dark,Normal,Psychic
Bug,Dark,Normal,Rock
Bug,Dark,Normal,Steel
Bug,Dark,Normal,Typeless
Bug,Dark,Normal,Water
Bug,Dark,Poison,Psychic
Bug,Dark,Poison,Rock
Bug,Dark,Poison,Steel
Bug,Dark,Poison,Typeless
Bug,Dark,Poison,Water
Bug,Dark,Psychic,Rock
Bug,Dark,Psychic,Steel
Bug,Dark,Psychic,Typeless
Bug,Dark,Psychic,Water
Bug,Dark,Rock,Steel
Bug,Dark,Rock,Typeless
Bug,Dark,Rock,Water
Bug,Dark,Steel,Typeless
Bug,Dark,Steel,Water
Bug,Dark,Water,Typeless
Bug,Dragon,Bug,Electric
Bug,Dragon,Bug,Fairy
Bug,Dragon,Bug,Fighting
Bug,Dragon,Bug,Fire
Bug,Dragon,Bug,Flying
Bug,Dragon,Bug,Ghost
Bug,Dragon,Bug,Grass
Bug,Dragon,Bug,Ground
Bug,Dragon,Bug,Ice
Bug,Dragon,Bug,Normal
Bug,Dragon,Bug,Poison
Bug,Dragon,Bug,Psychic
Bug,Dragon,Bug,Rock
Bug,Dragon,Bug,Steel
Bug,Dragon,Bug,Typeless
Bug,Dragon,Bug,Water
Bug,Dragon,Dark,Dragon
Bug,Dragon,Dark,Electric
Bug,Dragon,Dark,Fairy
Bug,Dragon,Dark,Fighting
Bug,Dragon,Dark,Fire
Bug,Dragon,Dark,Flying
Bug,Dragon,Dark,Ghost
Bug,Dragon,Dark,Grass
Bug,Dragon,Dark,Ground
Bug,Dragon,Dark,Ice
Bug,Dragon,Dark,Normal
Bug,Dragon,Dark,Poison
Bug,Dragon,Dark,Psychic
Bug,Dragon,Dark,Rock
Bug,Dragon,Dark,Steel
Bug,Dragon,Dark,Typeless
Bug,Dragon,Dark,Water
Bug,Dragon,Dragon,Electric
Bug,Dragon,Dragon,Fairy
Bug,Dragon,Dragon,Fighting
Bug,Dragon,Dragon,Fire
Bug,Dragon,Dragon,Flying
Bug,Dragon,Dragon,Ghost
Bug,Dragon,Dragon,Grass
Bug,Dragon,Dragon,Ground
Bug,Dragon,Dragon,Ice
Bug,Dragon,Dragon,Normal
Bug,Dragon,Dragon,Poison
Bug,Dragon,Dragon,Psychic
Bug,Dragon,Dragon,Rock
Bug,Dragon,Dragon,Steel
Bug,Dragon,Dragon,Typeless
Bug,Dragon,Dragon,Water
Bug,Dragon,Electric,Fairy
Bug,Dragon,Electric,Fighting
Bug,Dragon,Electric,Fire
Bug,Dragon,Electric,Flying
Bug,Dragon,Electric,Ghost
Bug,Dragon,Electric,Grass
Bug,Dragon,Electric,Ground
Bug,Dragon,Electric,Ice
Bug,Dragon,Electric,Normal
Bug,Dragon,Electric,Poison
Bug,Dragon,Electric,Psychic
Bug,Dragon,Electric,Rock
Bug,Dragon,Electric,Steel
Bug,Dragon,Electric,Typeless
Bug,Dragon,Electric,Water
Bug,Dragon,Fairy,Fighting
Bug,Dragon,Fairy,Fire
Bug,Dragon,Fairy,Flying
Bug,Dragon,Fairy,Ghost
Bug,Dragon,Fairy,Grass
Bug,Dragon,Fairy,Ground
Bug,Dragon,Fairy,Ice
Bug,Dragon,Fairy,Normal
Bug,Dragon,Fairy,Poison
Bug,Dragon,Fairy,Psychic
Bug,Dragon,Fairy,Rock
Bug,Dragon,Fairy,Steel
Bug,Dragon,Fairy,Typeless
Bug,Dragon,Fairy,Water
Bug,Dragon,Fighting,Fire
Bug,Dragon,Fighting,Flying
Bug,Dragon,Fighting,Ghost
Bug,Dragon,Fighting,Grass
Bug,Dragon,Fighting,Ground
Bug,Dragon,Fighting,Ice
Bug,Dragon,Fighting,Normal
Bug,Dragon,Fighting,Poison
Bug,Dragon,Fighting,Psychic
Bug,Dragon,Fighting,Rock
Bug,Dragon,Fighting,Steel
Bug,Dragon,Fighting,Typeless
Bug,Dragon,Fighting,Water
Bug,Dragon,Fire,Flying
Bug,Dragon,Fire,Ghost
Bug,Dragon,Fire,Grass
Bug,Dragon,Fire,Ground
Bug,Dragon,Fire,Ice
Bug,Dragon,Fire,Normal
Bug,Dragon,Fire,Poison
Bug,Dragon,Fire,Psychic
Bug,Dragon,Fire,Rock
Bug,Dragon,Fire,Steel
Bug,Dragon,Fire,Typeless
Bug,Dragon,Fire,Water
Bug,Dragon,Flying,Ghost
Bug,Dragon,Flying,Grass
Bug,Dragon,Flying,Ground
Bug,Dragon,Flying,Ice
Bug,Dragon,Flying,Normal
Bug,Dragon,Flying,Poison
Bug,Dragon,Flying,Psychic
Bug,Dragon,Flying,Rock
Bug,Dragon,Flying,Steel
Bug,Dragon,Flying,Typeless
Bug,Dragon,Flying,Water
Bug,Dragon,Ghost,Grass
Bug,Dragon,Ghost,Ground
Bug,Dragon,Ghost,Ice
Bug,Dragon,Ghost,Normal
Bug,Dragon,Ghost,Poison
Bug,Dragon,Ghost,Psychic
Bug,Dragon,Ghost,Rock
Bug,Dragon,Ghost,Steel
Bug,Dragon,Ghost,Typeless
Bug,Dragon,Ghost,Water
Bug,Dragon,Grass,Ground
Bug,Dragon,Grass,Ice
Bug,Dragon,Grass,Normal
