Rank,TypesByRating,Rating,WinRate,TypesByDamageInflicted,DamageInflicted,TypesByDamageReceived,DamageReceived
1,Ground / Water,115.3,0.678235294117647,Flying / Ground,60049.2,Fairy / Steel,39340.9
2,Flying / Ground,115.1,0.6770588235294117,Fire / Ground,59746.3,Flying / Steel,39847.2
3,Flying / Steel,114.8,0.6752941176470588,Ground / Ice,59472.1,Ghost / Steel,41795.7
4,Fire / Ground,114.7,0.6747058823529412,Fairy / Ground,58362.4,Ground / Steel,42177.4
5,Dragon / Steel,112.6,0.6623529411764706,Ground / Water,58180.8,Steel / Water,42514.0
6,Flying / Water,110.8,0.6517647058823529,Ground / Steel,57958.2,Dragon / Steel,42869.9
7,Grass / Steel,109.6,0.6447058823529411,Flying / Water,57313.9,Fire / Ground,43447.8
8,Fairy / Steel,109.4,0.6435294117647059,Fairy / Ghost,57031.6,Fighting / Steel,43541.9
9,Ground / Steel,108.4,0.6376470588235295,Fighting / Ghost,56288.5,Flying / Ground,43887.7
10,Bug / Steel,107.7,0.6335294117647059,Flying / Steel,56209.0,Bug / Steel,44028.3
11,Steel / Water,107.3,0.6311764705882352,Fire / Water,55979.9,Electric / Steel,44064.2
12,Electric / Steel,106.0,0.6235294117647059,Bug / Ground,55773.7,Ground / Water,44592.5
13,Fairy / Ground,105.8,0.6223529411764706,Dark / Poison,55752.7,Dark / Steel,44767.9
14,Dark / Steel,104.9,0.6170588235294118,Ground / Poison,55703.6,Fire / Steel,44840.8
15,Ghost / Steel,103.8,0.6105882352941177,Dragon / Water,55681.6,Fairy / Ground,44956.0
16,Dark / Poison,103.4,0.6082352941176471,Grass / Rock,55489.8,Grass / Steel,45054.7
17,Fairy / Ghost,103.3,0.6076470588235294,Fairy / Water,55447.0,Fairy / Water,45087.2
18,Poison / Water,103.0,0.6058823529411764,Steel / Water,55444.3,Fairy / Fire,45423.8
19,Ground / Ice,102.9,0.6052941176470589,Dragon / Steel,55424.3,Electric / Fairy,45901.2
20,Fairy / Water,101.2,0.5952941176470589,Ice / Water,55354.3,Poison / Water,46027.9
21,Dark / Fighting,100.7,0.5923529411764706,Poison / Water,55352.1,Electric / Flying,46039.3
22,Bug / Ground,100.5,0.5911764705882353,Electric / Ground,55236.0,Dark / Poison,46043.8
23,Fighting / Steel,100.3,0.59,Electric / Fairy,55155.8,Fairy / Ghost,46340.8
24,Grass / Rock,100.2,0.5894117647058824,Fighting / Steel,55141.6,Psychic / Steel,46401.8
25,Ghost / Water,100.2,0.5894117647058824,Dragon / Ground,55003.8,Ghost / Water,46588.8
26,Fairy / Rock,100.1,0.5888235294117646,Fairy / Steel,54836.7,Flying / Water,46614.1
27,Electric / Fairy,99.4,0.5847058823529412,Dragon / Fire,54564.5,Poison / Steel,46653.4
28,Fighting / Ghost,99.0,0.5823529411764706,Ghost / Ground,54369.4,Fire / Water,46719.2
29,Ground / Poison,98.4,0.5788235294117647,Fighting / Fire,54291.8,Ground / Poison,46743.0
